Word		Original_feature		Predicted_feature
तिलहन		sg		sg
के		sg		sg
उत्पादन		sg		sg
को		UNK		UNK
लेकर		any		any
उद्योग		sg		sg
जगत		sg		sg
और		UNK		UNK
कृषि		sg		sg
मंत्रालय		sg		sg
एक		any		any
बार		sg		sg
फिर		UNK		UNK
अलग		any		any
-		UNK		UNK
अलग		any		any
दावे		pl		pl
कर		pl		pl
रहे		pl		pl
हैं		pl		pl
।		UNK		UNK
उद्योग		sg		sg
जगत		sg		sg
का		sg		sg
कहना		any		any
है		sg		sg
कि		UNK		UNK
इस		sg		sg
साल		sg		sg
खरीफ		sg		sg
सीजन		sg		sg
के		UNK		UNK
दौरान		sg		sg
तिलहन		sg		sg
का		sg		sg
उत्पादन		sg		sg
130		any		any
लाख		any		any
टन		pl		sg
होगा		sg		sg
।		UNK		UNK
जबकि		UNK		UNK
कृषि		sg		sg
मंत्रालय		sg		sg
के		UNK		UNK
मुताबिक		UNK		UNK
इस		sg		sg
साल		sg		sg
तिलहन		sg		sg
का		sg		sg
उत्पादन		sg		sg
145.6		any		any
लाख		any		any
टन		pl		sg
रहने		sg		sg
का		sg		sg
अनुमान		sg		sg
है		sg		sg
,		UNK		UNK
जो		sg		sg
पिछले		sg		sg
साल		sg		sg
की		UNK		sg
तुलना		UNK		UNK
में		UNK		UNK
करीब		UNK		UNK
2.5		any		any
फीसदी		sg		sg
कम		UNK		UNK
है		sg		sg
।		UNK		UNK
लेकिन		UNK		UNK
उद्योग		sg		sg
का		sg		sg
कहना		any		any
है		sg		sg
कि		UNK		UNK
इस		sg		sg
साल		sg		sg
तिलहन		sg		sg
का		sg		sg
उत्पादन		sg		sg
पिछले		sg		sg
साल		sg		sg
की		UNK		sg
तुलना		UNK		UNK
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		sg		sg
।		UNK		UNK
उद्योग		sg		sg
जगत		sg		sg
और		UNK		UNK
कृषि		sg		sg
मंत्रालय		sg		sg
ने		UNK		UNK
खरीफ		sg		sg
सीज़न		sg		sg
के		UNK		sg
पहले		sg		sg
अग्रिम		any		any
अनुमानों		pl		pl
को		UNK		UNK
जारी		any		any
किया		sg		sg
है		sg		sg
।		UNK		UNK
तिलहन		sg		sg
उद्योग		sg		sg
और		UNK		UNK
ट्रेड		sg		sg
की		sg		sg
सबसे		UNK		UNK
बड़ी		sg		sg
संस्था		sg		sg
सेंट्रल		any		any
ऑर्गेनाइजेशन		sg		sg
फॉर		UNK		UNK
